geo country;time;powertrain;relative sales
Italy;2022;BEV;0,0375
Italy;2023;BEV;0,0423
Latvia;2000;BEV;0
Latvia;2001;BEV;0
Latvia;2002;BEV;0
Latvia;2003;BEV;0
Latvia;2004;BEV;0
Latvia;2005;BEV;0
Latvia;2006;BEV;0
Latvia;2007;BEV;0
Latvia;2008;BEV;0
Latvia;2009;BEV;0
Latvia;2010;BEV;0
Latvia;2011;BEV;0
Latvia;2012;BEV;0,0006
Latvia;2013;BEV;0
Latvia;2014;BEV;0,012
Latvia;2015;BEV;0,0012
Latvia;2016;BEV;0,001100001
Latvia;2017;BEV;0,0036
Latvia;2018;BEV;0,007599999
Latvia;2019;BEV;0,006399999
Latvia;2020;BEV;0,021399999
Latvia;2021;BEV;0,0294
Latvia;2022;BEV;0,063800001
Latvia;2023;BEV;0,0948
Lithuania;2000;BEV;0
Lithuania;2001;BEV;0
Lithuania;2002;BEV;0
Lithuania;2003;BEV;0
Lithuania;2004;BEV;0
Lithuania;2005;BEV;0
Lithuania;2006;BEV;0
Lithuania;2007;BEV;0
Lithuania;2008;BEV;0
Lithuania;2009;BEV;0
Lithuania;2010;BEV;0
Lithuania;2011;BEV;0
Lithuania;2012;BEV;0
Lithuania;2013;BEV;0
Lithuania;2014;BEV;0
Lithuania;2015;BEV;9,99E-05
Lithuania;2016;BEV;0,000399999
Lithuania;2017;BEV;0,0003
Lithuania;2018;BEV;0,0009
Lithuania;2019;BEV;0,000999999
Lithuania;2020;BEV;0,011300001
Lithuania;2021;BEV;0,036099999
Lithuania;2022;BEV;0,0516
Lithuania;2023;BEV;0,074000001
Luxembourg;2000;BEV;0
Luxembourg;2001;BEV;0,0002
Luxembourg;2002;BEV;0,0001
Luxembourg;2003;BEV;0,0001
Luxembourg;2004;BEV;0,0002
Luxembourg;2005;BEV;0
Luxembourg;2006;BEV;0
Luxembourg;2007;BEV;0
Luxembourg;2008;BEV;0
Luxembourg;2009;BEV;0
Luxembourg;2010;BEV;0
Luxembourg;2011;BEV;0,0006
Luxembourg;2012;BEV;0,0012
Luxembourg;2013;BEV;0
Luxembourg;2014;BEV;0,000500001
Luxembourg;2015;BEV;0,000999999
