geo country;stock_year;powertrain;share
Iceland;2014;BEV;0,0014
Iceland;2015;BEV;0,0033
Iceland;2016;BEV;0,005
Iceland;2017;BEV;0,0074
Iceland;2018;BEV;0,01
Iceland;2019;BEV;0,0139
Iceland;2020;BEV;0,0204
Iceland;2021;BEV;0,0375
Iceland;2022;BEV;0,0625
Iceland;2023;BEV;0,0844
Iceland;2008;G-PHEV;0
Iceland;2009;G-PHEV;0
Iceland;2010;G-PHEV;0
Iceland;2011;G-PHEV;0
Iceland;2012;G-PHEV;0
Iceland;2013;G-PHEV;0,0002
Iceland;2014;G-PHEV;0,0003
Iceland;2015;G-PHEV;0,0011
Iceland;2016;G-PHEV;0,0048
Iceland;2017;G-PHEV;0,0124
Iceland;2018;G-PHEV;0,0226
Iceland;2019;G-PHEV;0,0297
Iceland;2020;G-PHEV;0,036
Iceland;2021;G-PHEV;0,0542
Iceland;2022;G-PHEV;0,0729
Iceland;2023;G-PHEV;0,0072
Ireland;2008;BEV;0
Ireland;2009;BEV;0
Ireland;2010;BEV;0
Ireland;2011;BEV;0
Ireland;2012;BEV;0,0001
Ireland;2013;BEV;0,0001
Ireland;2014;BEV;0,0003
Ireland;2015;BEV;0,0005
Ireland;2016;BEV;0,0008
Ireland;2017;BEV;0,0013
Ireland;2018;BEV;0,0021
Ireland;2019;BEV;0,0038
Ireland;2020;BEV;0,0055
Ireland;2021;BEV;0,0087
Ireland;2022;BEV;0,0151
Ireland;2023;BEV;0,0241
Ireland;2008;G-PHEV;0
Ireland;2009;G-PHEV;0
Ireland;2010;G-PHEV;0
Ireland;2011;G-PHEV;0
Ireland;2012;G-PHEV;0
Ireland;2013;G-PHEV;0
Ireland;2014;G-PHEV;0
Ireland;2015;G-PHEV;0,0001
Ireland;2016;G-PHEV;0,0002
Ireland;2017;G-PHEV;0,0003
Ireland;2018;G-PHEV;0,0007
Ireland;2019;G-PHEV;0,0013
Ireland;2020;G-PHEV;0,0025
Ireland;2021;G-PHEV;0,0076
