geo country;vehicle age;number of registered vehicles
Poland;50;1326
Poland;51;0
Poland;52;0
Poland;53;0
Poland;54;0
Poland;55;0
Poland;56;0
Poland;57;0
Poland;58;0
Poland;59;0
Poland;60;0
Poland;61;0
Poland;62;0
Poland;63;0
Poland;64;0
Poland;65;0
Poland;66;0
Poland;67;0
Poland;68;0
Poland;69;0
Poland;70;0
Poland;71;0
Poland;72;0
Poland;73;0
Poland;74;0
Poland;75;0
Poland;76;0
Poland;77;0
Poland;78;0
Poland;79;0
Poland;80;0
Poland;81;0
Poland;82;0
Poland;83;0
Poland;84;0
Poland;85;0
Poland;86;0
Poland;87;0
Poland;88;0
Poland;89;0
Poland;90;0
Poland;91;0
Poland;92;0
Poland;93;0
Poland;94;0
Poland;95;0
Poland;96;0
Poland;97;0
Poland;98;0
Poland;99;0
Poland;100;0
Poland;101;0
Poland;102;0
Poland;103;0
Poland;104;0
Poland;105;0
Poland;106;0
Poland;107;0
Poland;108;0
Poland;109;0
Poland;110;0
Poland;111;0
Poland;112;0
Poland;113;0
Poland;114;0
Poland;115;0
Poland;116;0
Poland;117;0
Poland;118;0
Poland;119;0
Poland;120;0
Poland;121;0
Slovenia;1;36682
Slovenia;2;35469
Slovenia;3;51164
Slovenia;4;59428
Slovenia;5;66965
Slovenia;6;68927
Slovenia;7;65797
Slovenia;8;56892
Slovenia;9;54303
Slovenia;10;56834
Slovenia;11;65086
Slovenia;12;59978
Slovenia;13;56326
Slovenia;14;69585
Slovenia;15;62964
Slovenia;16;54141
Slovenia;17;50204
Slovenia;18;44773
Slovenia;19;40039
Slovenia;20;30072
Slovenia;21;23662
Slovenia;22;21101
Slovenia;23;18743
Slovenia;24;11009
Slovenia;25;6373
Slovenia;26;6373
Slovenia;27;6373
Slovenia;28;6373
Slovenia;29;3821
Slovenia;30;0
Slovenia;31;0
Slovenia;32;0
Slovenia;33;0
Slovenia;34;0
Slovenia;35;0
Slovenia;36;0
Slovenia;37;0
Slovenia;38;0
Slovenia;39;0
Slovenia;40;0
Slovenia;41;0
Slovenia;42;0
Slovenia;43;0
Slovenia;44;0
Slovenia;45;0
Slovenia;46;0
Slovenia;47;0
Slovenia;48;0
Slovenia;49;0
Slovenia;50;0
Slovenia;51;0
Slovenia;52;0
Slovenia;53;0
Slovenia;54;0
Slovenia;55;0
Slovenia;56;0
Slovenia;57;0
Slovenia;58;0
Slovenia;59;0
